# k1 k2 k3 mean_bk mean_bk_smooth
0.045 0.135 0.155 5.313601989049607801e+04 5.199107971936164540e+04
0.045 0.135 0.165 5.851961077784581721e+04 5.599448384780030756e+04
0.045 0.135 0.175 6.453944042358866864e+04 6.243248398818982969e+04
0.045 0.145 0.145 4.722696131731167407e+04 4.674417111843945167e+04
0.045 0.145 0.155 4.567065668284823914e+04 4.575408968575468316e+04
0.045 0.145 0.165 4.807172920553250151e+04 4.722651602973696572e+04
0.045 0.145 0.175 5.239633100322946848e+04 5.097901897727361211e+04
0.045 0.145 0.185 5.706299297386933176e+04 5.692311930886473419e+04
0.045 0.155 0.155 4.110620817858174269e+04 4.246644807434934046e+04
0.045 0.155 0.165 4.025925035105610004e+04 4.168618652062214824e+04
0.045 0.155 0.175 4.270216823762488639e+04 4.313904892965971521e+04
0.045 0.155 0.185 4.595811603500918136e+04 4.666388259221454064e+04
0.045 0.155 0.195 4.946364577453233505e+04 5.217832479906795197e+04
0.045 0.165 0.165 3.681484873528080061e+04 3.879477493553255044e+04
0.045 0.165 0.175 3.666592184859333793e+04 3.817873484487063979e+04
0.045 0.165 0.185 3.802711099288742116e+04 3.960131765610051661e+04
0.045 0.165 0.195 4.145338711682175926e+04 4.291980344079809583e+04
0.045 0.165 0.205 4.401252568499104382e+04 4.805798158086893818e+04
0.045 0.175 0.175 3.432452226271567633e+04 3.561445938484318322e+04
0.045 0.175 0.185 3.392072066587704467e+04 3.512805628137190070e+04
0.045 0.175 0.195 3.592426468576386833e+04 3.651397658407982090e+04
0.045 0.175 0.205 3.847630988918826188e+04 3.964542375193611952e+04
0.045 0.175 0.215 4.162891684894850187e+04 4.445208872991162934e+04
0.045 0.185 0.185 3.235293778418866350e+04 3.283627702172528370e+04
0.045 0.185 0.195 3.173924676409858876e+04 3.245300545078243158e+04
0.045 0.185 0.205 3.316634571806819440e+04 3.379877151960304764e+04
0.045 0.185 0.215 3.604726961110116827e+04 3.676051814590406866e+04
0.045 0.185 0.225 3.926003241644578520e+04 4.127343530460583861e+04
0.045 0.195 0.195 3.025674073915705958e+04 3.039010440173307870e+04
0.045 0.195 0.205 3.053896018802025719e+04 3.008946033498736506e+04
0.045 0.195 0.215 3.077473411619533726e+04 3.139350401525850975e+04
0.045 0.195 0.225 3.416584574257635541e+04 3.420102780310613161e+04
0.045 0.195 0.235 3.729642033939337853e+04 3.845224483596640493e+04
0.045 0.205 0.205 2.821480768290975175e+04 2.822031942187821187e+04
0.045 0.205 0.215 2.795720354682837205e+04 2.798630821870270665e+04
0.045 0.205 0.225 2.942621862276039974e+04 2.924832792354461708e+04
0.045 0.205 0.235 3.191400870482847677e+04 3.191538681374529551e+04
0.045 0.205 0.245 3.436928319014145382e+04 3.593221796724788146e+04
0.045 0.215 0.215 2.569730514140126616e+04 2.628243480152283882e+04
0.045 0.215 0.225 2.569160521967621389e+04 2.610248550641443217e+04
0.045 0.215 0.235 2.697990108769929429e+04 2.732299595968755602e+04
0.045 0.215 0.245 2.939090481189339334e+04 2.986177664051235115e+04
0.045 0.215 0.255 3.163084300906529825e+04 3.366757644718811207e+04
0.045 0.225 0.225 2.410686790392188050e+04 2.454060390508738783e+04
0.045 0.225 0.235 2.375098201717199117e+04 2.440476961341714923e+04
0.045 0.225 0.245 2.487127927297763381e+04 2.558479103604837655e+04
0.045 0.225 0.255 2.695849885078030275e+04 2.800605369357687960e+04
0.045 0.225 0.265 2.877161560849768284e+04 3.162083198764924964e+04
0.045 0.235 0.235 2.217917305503816897e+04 2.296575175445785862e+04
0.045 0.235 0.245 2.223190166976974797e+04 2.286611405870263479e+04
0.045 0.235 0.255 2.325757137372685247e+04 2.400695647124043535e+04
0.045 0.235 0.265 2.528045601778138371e+04 2.632016993405696849e+04
0.045 0.235 0.275 2.712054268655184569e+04 2.976108544007061209e+04
0.045 0.245 0.245 2.085694206218897671e+04 2.153415958948975822e+04
0.045 0.245 0.255 2.107209282930477639e+04 2.146438040416936929e+04
0.045 0.245 0.265 2.156297302537816722e+04 2.256749343200114890e+04
0.045 0.245 0.275 2.370205365127231562e+04 2.478095816005791130e+04
0.045 0.245 0.285 2.566218672704643905e+04 2.806271799379449658e+04
0.045 0.255 0.255 2.006459700411928861e+04 2.022638223976418521e+04
0.045 0.255 0.265 1.973035405878604797e+04 2.018136326814841595e+04
0.045 0.255 0.275 2.070808951389120557e+04 2.124823141672868587e+04
0.045 0.255 0.285 2.249422874729262185e+04 2.336918962933582588e+04
0.045 0.255 0.295 2.440374464316685044e+04 2.650437506565322474e+04
0.045 0.265 0.265 1.876890047768250952e+04 1.902641234786112182e+04
0.045 0.265 0.275 1.860804103709783885e+04 1.900203399919308868e+04
0.045 0.265 0.285 1.951996942093148391e+04 2.003410369813101715e+04
0.045 0.265 0.295 2.120606157618732323e+04 2.206883693843855508e+04
0.045 0.275 0.275 1.766071827254851451e+04 1.792102954465044968e+04
0.045 0.275 0.285 1.748132324724853970e+04 1.791394907264154244e+04
