# k1 k2 k3 mean_bk mean_bk_smooth
0.035 0.205 0.205 3.159269934335659400e+02 2.928919760544885662e+02
0.035 0.205 0.215 3.014683197513344339e+02 2.891137221424835957e+02
0.035 0.205 0.225 3.060064688103077515e+02 2.911955226915321191e+02
0.035 0.205 0.235 3.158648464810168548e+02 2.989866790853191105e+02
0.035 0.215 0.215 3.024549253684252790e+02 2.798362899680027454e+02
0.035 0.215 0.225 2.927845252718008737e+02 2.764471476024446588e+02
0.035 0.215 0.235 2.936364497109872218e+02 2.786876425912411719e+02
0.035 0.215 0.245 3.030658484614403392e+02 2.864275947661223540e+02
0.035 0.225 0.225 2.804662509530709826e+02 2.677266283242034319e+02
0.035 0.225 0.235 2.781856711644315965e+02 2.646616236683641432e+02
0.035 0.225 0.245 2.779977262735870909e+02 2.670267472677203386e+02
0.035 0.225 0.255 2.804610386315558799e+02 2.747088052689271080e+02
0.035 0.235 0.235 2.653923049469717625e+02 2.564148513207448445e+02
0.035 0.235 0.245 2.680275129015134894e+02 2.536219050954354941e+02
0.035 0.235 0.255 2.677313039940225963e+02 2.560851625387288095e+02
0.035 0.235 0.265 2.708487641270277777e+02 2.637054151576987806e+02
0.035 0.245 0.245 2.625986877401142010e+02 2.457811703968012012e+02
0.035 0.245 0.255 2.529031356952237672e+02 2.432183988282473308e+02
0.035 0.245 0.265 2.594698692297787943e+02 2.457591297922069487e+02
0.035 0.245 0.275 2.597109575476767418e+02 2.533155619756870180e+02
0.035 0.255 0.255 2.502841112395892935e+02 2.357284411502165540e+02
0.035 0.255 0.265 2.499408031089294298e+02 2.333620835110290272e+02
0.035 0.255 0.275 2.451540748386640871e+02 2.359641376549813572e+02
0.035 0.255 0.285 2.476292196827836847e+02 2.434559696670405913e+02
0.035 0.265 0.265 2.382408750539894129e+02 2.261777540643382167e+02
0.035 0.265 0.275 2.361381684752194872e+02 2.239805668923399935e+02
0.035 0.265 0.285 2.386320536188057702e+02 2.266312845249378825e+02
0.035 0.265 0.295 2.428878066799040312e+02 2.340584729106567750e+02
0.035 0.275 0.275 2.349392174400242084e+02 2.170649980409385762e+02
0.035 0.275 0.285 2.305678717202147254e+02 2.150150003279654243e+02
0.035 0.275 0.295 2.313572519982563165e+02 2.177044210952161620e+02
0.035 0.285 0.285 2.230514206846657146e+02 2.083381601024223073e+02
0.035 0.285 0.295 2.210087384718650583e+02 2.064176448768274952e+02
0.035 0.295 0.295 2.124227483122230922e+02 1.999551872495511873e+02
0.045 0.045 0.045 1.024896287168842719e+03 1.128213156377612222e+03
0.045 0.045 0.055 9.074846187216357976e+02 1.034105868274472186e+03
0.045 0.045 0.065 9.760856863599663029e+02 9.684168031282868014e+02
0.045 0.045 0.075 9.325437904785183036e+02 9.297559593128529514e+02
0.045 0.045 0.085 1.020499656869012256e+03 9.173897320329821241e+02
0.045 0.055 0.055 9.400751125820449943e+02 9.404715058304497006e+02
0.045 0.055 0.065 8.727885743822481572e+02 8.716750489916518063e+02
0.045 0.055 0.075 8.622673428161436959e+02 8.250874770307013932e+02
0.045 0.055 0.085 8.624460966683058132e+02 7.988167680499260541e+02
0.045 0.055 0.095 8.457911903944710730e+02 7.919705304218832680e+02
0.045 0.065 0.065 8.328159269460791165e+02 7.998176986599764859e+02
0.045 0.065 0.075 7.535421118211593239e+02 7.484442489431420427e+02
0.045 0.065 0.085 7.654467733962063676e+02 7.146109054647915855e+02
0.045 0.065 0.095 7.568131738686362269e+02 6.965708405581638090e+02
0.045 0.065 0.105 7.766316848541121090e+02 6.935114946758693577e+02
0.045 0.075 0.075 7.410400755780183317e+02 6.926946994475146084e+02
0.045 0.075 0.085 6.676384019586973864e+02 6.535814030788018272e+02
0.045 0.075 0.095 6.796156650822024403e+02 6.285446405673994832e+02
0.045 0.075 0.105 6.952853254117790129e+02 6.161359691796297966e+02
0.045 0.075 0.115 6.819201969015812210e+02 6.156801209816774190e+02
0.045 0.085 0.085 6.224614188476634808e+02 6.096619396266847843e+02
0.045 0.085 0.095 5.914107949051509650e+02 5.793272583095836126e+02
0.045 0.085 0.105 5.900099148796921327e+02 5.605046411004764195e+02
0.045 0.085 0.115 5.941029583122996200e+02 5.520351901953532661e+02
0.045 0.085 0.125 6.029848383645761487e+02 5.533761283416265542e+02
0.045 0.095 0.095 5.439520506300841589e+02 5.441449578508739933e+02
0.045 0.095 0.105 5.083358986958953096e+02 5.202040287009701842e+02
0.045 0.095 0.115 5.103018498095676705e+02 5.058612855917740490e+02
0.045 0.095 0.125 5.257191875516745085e+02 5.001983758374642548e+02
0.045 0.095 0.135 5.234468364642950746e+02 5.027837813638834632e+02
0.045 0.105 0.105 4.857062740875275608e+02 4.915463646872963182e+02
0.045 0.105 0.115 4.687665543954764189e+02 4.723396047587149837e+02
0.045 0.105 0.125 4.581240810174265334e+02 4.612845814805676241e+02
0.045 0.105 0.135 4.785949011283275354e+02 4.576527225174702949e+02
0.045 0.105 0.145 4.663328770652544222e+02 4.611014619094029854e+02
0.045 0.115 0.115 4.404565256452270887e+02 4.486178045613055474e+02
0.045 0.115 0.125 4.477364036410854169e+02 4.329710925859723716e+02
0.045 0.115 0.135 4.312119416189082131e+02 4.243672787385380616e+02
0.045 0.115 0.145 4.343789342101140392e+02 4.222250494022137559e+02
0.045 0.115 0.155 4.452868669436485902e+02 4.262717453383780253e+02
0.045 0.125 0.125 4.101597714220254147e+02 4.130327203417930946e+02
0.045 0.125 0.135 4.270602045531480826e+02 4.001015805374549359e+02
0.045 0.125 0.145 4.059501504990192871e+02 3.933510723932355404e+02
0.045 0.125 0.155 4.064621277186423640e+02 3.923139119058603796e+02
0.045 0.125 0.165 4.262486962521031728e+02 3.967721881363665375e+02
0.045 0.135 0.135 4.007258512527226912e+02 3.831001429597260994e+02
0.045 0.135 0.145 4.060820710574508894e+02 3.722675149260558669e+02
0.045 0.135 0.155 3.850847816769679071e+02 3.669357904546095028e+02
0.045 0.135 0.165 3.916643428902636401e+02 3.667263829564199114e+02
0.045 0.135 0.175 3.891559581492649613e+02 3.714643769568720586e+02
0.045 0.145 0.145 3.789974855949157586e+02 3.575729884228762216e+02
0.045 0.145 0.155 3.552702594202393698e+02 3.483812692227567709e+02
0.045 0.145 0.165 3.622857876522375591e+02 3.441477966559679658e+02
0.045 0.145 0.175 3.556963656179199234e+02 3.445634897487325361e+02
0.045 0.145 0.185 3.718636832558680112e+02 3.494873838159110733e+02
0.045 0.155 0.155 3.447402724128959335e+02 3.355186441742843613e+02
0.045 0.155 0.165 3.293779272074821165e+02 3.276238349174374775e+02
0.045 0.155 0.175 3.328510022640919601e+02 3.242489973305790159e+02
0.045 0.155 0.185 3.333406175852516071e+02 3.251399794950038995e+02
0.045 0.155 0.195 3.353626671277704077e+02 3.301827950213051395e+02
